,answer
316,매우좋음
317,매우좋음
318,매우좋음
319,좋음
320,매우좋음
321,매우좋음
322,'좋음'
323,매우좋음
324,매우좋음
325,좋음
326,좋음
327,매우좋음
328,'매우좋음'
329,매우좋음
330,좋음
331,'좋음'
332,매우좋음
333,매우좋음
334,매우좋음
335,매우좋음
336,매우좋음
337,'매우좋음'
338,매우좋음
339,매우좋음
340,매우좋음
341,좋음
342,좋음
343,좋음
344,매우좋음
345,'매우좋음'
346,'매우좋음'
347,'매우좋음'
348,매우좋음
349,보통
350,'매우좋음'
351,매우좋음
352,'좋음'
353,매우좋음
354,매우좋음
355,매우좋음
356,'좋음'
357,'좋음'
358,매우좋음
359,'매우좋음'
360,좋음
361,좋음
362,매우좋음
363,매우좋음
364,보통
365,'매우좋음'
366,좋음
367,매우좋음
368,매우좋음
369,좋음
370,매우좋음
371,좋음
372,'매우좋음'
373,매우좋음
374,'매우좋음'
375,'보통'
376,매우좋음
377,'매우좋음'
378,매우좋음
379,'매우좋음'
380,매우좋음
381,좋음
382,'매우좋음'
383,좋음
384,매우좋음
385,'매우좋음'
386,매우좋음
387,'좋음'
388,'보통'
389,'매우좋음'
390,'매우좋음'
391,매우좋음
392,좋음
393,매우좋음
394,매우좋음
395,좋음
396,좋음
397,매우좋음
398,'매우좋음'
399,매우좋음
400,매우좋음
401,매우좋음
402,매우좋음
403,'매우좋음'
404,매우좋음
405,매우좋음
406,매우좋음
407,'좋음'
408,'좋음'
409,'매우좋음'
410,매우좋음
411,매우좋음
412,'매우좋음'
413,'좋음'
414,매우좋음
415,'보통'
416,매우좋음
417,매우좋음
418,매우좋음
419,좋음
420,좋음
421,좋음
422,'매우좋음'
423,매우좋음
424,매우좋음
425,매우좋음
426,매우좋음
427,'매우좋음'
428,'좋음'
429,매우좋음
430,'매우좋음'
431,매우좋음
432,매우좋음
433,매우좋음
434,'좋음'
435,'좋음'
436,좋음
437,매우좋음
438,매우좋음
439,'좋음'
440,'매우좋음'
441,좋음
442,매우좋음
443,'매우좋음'
444,'매우좋음'
445,좋음
446,좋음
447,좋음
448,매우좋음
449,매우좋음
450,매우좋음
451,'좋음'
452,매우좋음
453,'보통'
454,매우좋음
455,'좋음'
456,매우좋음
457,매우좋음
458,좋음
459,매우좋음
460,매우좋음
461,좋음
462,좋음
463,'매우좋음'
464,'좋음'
465,좋음
466,좋음
467,좋음
468,매우좋음
469,매우좋음
470,'보통'
471,'매우좋음'
472,매우좋음
473,좋음
474,매우좋음
475,매우좋음
476,'좋음'
477,'매우좋음'
478,'매우좋음'
479,매우좋음
480,좋음
481,'매우좋음'
482,'좋음'
483,매우좋음
484,매우좋음
485,'매우좋음'
486,매우좋음
487,'매우좋음'
488,'매우좋음'
489,좋음
490,매우좋음
491,'매우좋음'
492,매우좋음
493,'보통'
494,매우좋음
495,'좋음'
496,좋음
497,좋음
498,좋음
499,보통
500,매우좋음
501,매우좋음
502,좋음
503,매우좋음
504,'좋음'
505,'매우좋음'
506,매우좋음
507,'매우좋음'
508,매우좋음
509,매우좋음
510,매우좋음
511,매우좋음
512,좋음
513,매우좋음
514,보통
515,매우좋음
516,좋음
517,'매우좋음'
518,'좋음'
519,'좋음'
520,매우좋음
521,매우좋음
522,좋음
523,매우좋음
524,'좋음'
525,좋음
526,매우좋음
527,'매우좋음'
528,매우좋음
529,매우좋음
530,매우좋음
531,매우좋음
532,좋음
533,좋음
534,'보통'
535,매우좋음
536,좋음
537,'매우좋음'
538,'좋음'
539,'좋음'
540,'매우좋음'
541,'매우좋음'
542,매우좋음
543,'매우좋음'
544,좋음
545,매우좋음
546,'매우좋음'
547,매우좋음
548,매우좋음
549,좋음
550,매우좋음
551,'매우좋음'
552,좋음
553,좋음
554,좋음
555,좋음
556,매우좋음
557,좋음
558,좋음
559,매우좋음
560,매우좋음
561,매우좋음
562,'매우좋음'
563,'보통'
564,매우좋음
565,'매우좋음'
566,매우좋음
567,'매우좋음'
568,매우좋음
569,매우좋음
570,좋음
571,매우좋음
572,매우좋음
573,매우좋음
574,매우좋음
575,'매우좋음'
576,매우좋음
577,'매우좋음'
578,매우좋음
579,'매우좋음'
580,'매우좋음'
581,'매우좋음'
582,'매우좋음'
583,매우좋음
584,'매우좋음'
585,매우좋음
586,매우좋음
587,매우좋음
588,좋음
589,좋음
590,좋음
591,매우좋음
592,매우좋음
593,매우좋음
594,매우좋음
595,매우좋음
596,매우좋음
597,매우좋음
598,매우좋음
599,'매우좋음'
600,매우좋음
601,매우좋음
602,좋음
603,매우좋음
604,매우좋음
605,매우좋음
606,매우좋음
607,매우좋음
608,매우좋음
609,매우좋음
610,매우좋음
611,매우좋음
612,매우좋음
613,매우좋음
614,매우좋음
615,매우좋음
616,매우좋음
617,매우좋음
618,'매우좋음'
619,매우좋음
620,매우좋음
621,매우좋음
622,매우좋음
623,좋음
624,좋음
625,매우좋음
626,매우좋음
627,매우좋음
628,매우좋음
629,매우좋음
630,'매우좋음'
631,'매우좋음'
632,'매우좋음'
633,좋음
634,매우좋음
635,매우좋음
636,'매우좋음'
637,'매우좋음'
638,좋음
639,매우좋음
640,'좋음'
641,매우좋음
642,좋음
643,'매우좋음'
644,'좋음'
645,좋음
646,'매우좋음'
647,매우좋음
648,매우좋음
649,'매우좋음'
650,'매우좋음'
651,매우좋음
652,좋음
653,'보통'
654,'매우좋음'
655,좋음
656,매우좋음
657,매우좋음
658,'좋음'
659,매우좋음
660,좋음
661,매우좋음
662,매우좋음
663,매우좋음
664,'좋음'
665,'매우좋음'
666,매우좋음
667,'매우좋음'
668,매우좋음
669,매우좋음
670,'매우좋음'
671,매우좋음
672,좋음
673,매우좋음
674,매우좋음
675,'매우좋음'
676,좋음
677,좋음
678,매우좋음
679,좋음
680,매우좋음
681,매우좋음
682,매우좋음
683,좋음
684,'매우존호음'
685,매우좋음
686,'매우좋음'
687,좋음
688,매우좋음
689,'매우좋음'
690,'좋음'
691,매우좋음
692,'보통'
693,좋음
694,매우좋음
695,매우좋음
696,좋음
697,'매우좋음'
698,'매우좋음'
699,'매우좋음'
700,매우좋음
701,매우좋음
702,리뷰 내용이 제공되지 않았기 때문에 판단할 수 없습니다.
703,좋음
704,좋음
705,매우좋음
706,매우좋음
707,매우좋음
708,'좋음'
709,'매우좋음'
710,'매우좋음'
711,'매우좋음'
712,매우좋음
713,'매우좋음'
714,매우좋음
715,좋음
716,매우좋음
717,매우좋음
718,매우좋음
719,매우좋음
720,매우좋음
721,'좋음'
722,'매우좋음'
723,매우좋음
724,매우좋음
725,'매우좋음'
726,'매우좋음'
727,매우좋음
728,매우좋음
729,매우좋음
730,'매우좋음'
731,매우좋음
732,매우좋음
733,'매우좋음'
734,'매우좋음'
735,매우좋음
736,'매우좋음'
737,좋음
738,'매우좋음'
739,좋음
740,매우좋음
741,'좋음'
742,매우좋음
743,매우좋음
744,매우좋음
745,'매우좋음'
746,'매우좋음'
747,매우좋음
748,매우좋음
749,매우좋음
750,'매우좋음'
751,매우좋음
752,매우좋음
753,'매우좋음'
754,좋음
755,매우좋음
756,'매우좋음'
757,좋음
758,'매우좋음'
759,좋음
760,'보통'
761,매우좋음
762,좋음
763,'매우좋음'
764,매우좋음
765,매우좋음
766,매우좋음
767,좋음
768,좋음
769,매우좋음
770,매우좋음
771,좋음
772,매우좋음
773,좋음
774,매우좋음
775,좋음
776,매우좋음
777,매우좋음
778,'좋음'
779,'좋음'
780,'좋음'
781,'매우좋음'
782,'매우좋음'
783,매우좋음
784,매우좋음
785,좋음
786,좋음
787,좋음
788,좋음
789,좋음
790,'보통'
791,좋음
792,매우좋음
793,매우좋음
794,매우좋음
795,매우좋음
796,매우좋음
797,좋음
798,매우좋음
799,매우좋음
800,매우좋음
801,매우좋음
802,'매우좋음'
803,매우좋음
804,매우좋음
805,'보통'
806,좋음
807,매우좋음
808,매우좋음
809,좋음
810,'좋음'
811,'매우좋음'
812,좋음
813,'매우좋음'
814,좋음
815,'좋음'
816,매우좋음
817,매우좋음
818,좋음
819,매우좋음
820,매우좋음
821,'매우좋음'
822,'좋음'
823,매우좋음
824,매우좋음
825,나쁨
826,좋음
827,매우좋음
828,'매우좋음'
829,매우좋음
830,'매우좋음'
831,매우좋음
832,매우좋음
833,매우좋음
834,매우좋음
835,매우좋음
836,매우좋음
837,매우좋음
838,매우좋음
839,매우좋음
840,'매우좋음'
841,'보통'
842,매우나쁨
843,매우좋음
844,매우좋음
845,매우좋음
846,매우좋음
847,나쁨
848,'매우좋음'
849,매우좋음
850,매우좋음
851,매우좋음
852,좋음
853,매우좋음
854,좋음
855,매우좋음
856,매우좋음
857,좋음
858,좋음
859,'매우좋음'
860,매우좋음
861,매우좋음
862,'매우좋음'
863,'매우좋음'
864,'보통'
865,매우좋음
866,매우좋음
867,매우좋음
868,매우좋음
869,'좋음'
870,매우좋음
871,매우좋음
872,매우좋음
873,좋음
874,매우좋음
875,'매우좋음'
876,매우좋음
877,매우좋음
878,매우좋음
879,'좋음'
880,'매우좋음'
881,좋음
882,'보통'
883,좋음
884,'좋음'
885,매우좋음
886,'매우좋음'
887,좋음
888,좋음
889,'좋음'
890,'좋음'
891,'매우좋음'
892,'좋음'
893,'좋음'
894,좋음
895,매우좋음
896,'좋음'
897,좋음
898,'좋음'
899,매우좋음
900,매우좋음
901,매우좋음
902,매우좋음
903,매우좋음
904,매우좋음
905,'매우좋음'
906,매우좋음
907,매우좋음
908,좋음
909,매우좋음
910,매우좋음
911,매우좋음
912,'좋음'
913,매우좋음
914,'좋음'
915,매우좋음
916,'보통'
917,매우좋음
918,'보통'
919,매우좋음
920,좋음
921,매우좋음
922,'매우좋음'
923,'보통'
924,좋음
925,'좋음'
926,매우좋음
927,매우좋음
928,'매우좋음'
929,매우좋음
930,매우좋음
931,좋음
932,'보통'
933,'좋음'
934,좋음
935,'매우좋음'
936,좋음
937,매우좋음
938,'보통'
939,좋음
940,'매우좋음'
941,'매우좋음'
942,좋음
943,보통
944,매우좋음
945,좋음
946,'매우좋음'
947,좋음
948,매우좋음
949,매우좋음
950,'좋음'
951,매우좋음
952,매우좋음
953,매우좋음
954,'좋음'
955,매우좋음
956,매우좋음
957,'매우좋음'
958,'매우좋음'
959,'매우좋음'
960,매우좋음
961,'매우좋음'
962,좋음
963,'보통'
964,매우좋음
965,매우좋음
966,좋음
967,'매우좋음'
968,매우좋음
969,'매우좋음'
970,'매우좋음'
971,매우좋음
972,매우좋음
973,매우좋음
974,좋음
975,매우좋음
976,매우좋음
977,'매우좋음'
978,'매우좋음'
979,매우좋음
980,좋음
981,'매우좋음'
982,좋음
983,'매우좋음'
984,매우좋음
985,'보통'
986,'매우좋음'
987,매우좋음
988,'매우좋음'
989,'매우좋음'
990,매우좋음
991,'매우좋음'
992,'매우좋음'
993,매우좋음
994,매우좋음
995,매우좋음
996,매우좋음
997,매우좋음
998,매우좋음
999,매우좋음
1000,좋음
1001,매우좋음
1002,'보통'
1003,보통
1004,'좋음'
1005,좋음
1006,매우좋음
1007,매우좋음
1008,매우좋음
1009,'좋음'
1010,좋음
1011,매우좋음
1012,매우좋음
1013,매우좋음
1014,좋음
1015,매우좋음
1016,매우좋음
1017,매우좋음
1018,매우좋음
1019,매우좋음
1020,'좋음'
1021,좋음
1022,좋음
1023,매우좋음
1024,매우좋음
1025,매우좋음
1026,매우좋음
1027,'매우좋음'
1028,매우좋음
1029,매우좋음
1030,'매우좋음'
1031,매우좋음
1032,'매우좋음'
1033,매우좋음
1034,나쁨
1035,'매우좋음'
1036,매우좋음
1037,좋음
1038,매우좋음
1039,'매우좋음'
1040,매우좋음
1041,좋음
1042,'좋음'
1043,매우좋음
1044,좋음
1045,매우좋음
1046,매우좋음
1047,매우좋음
1048,'매우좋음'
1049,좋음
1050,좋음
1051,'매우좋음'
1052,매우좋음
1053,좋음
1054,나쁨
1055,매우좋음
1056,매우좋음
1057,매우좋음
1058,매우좋음
1059,좋음
1060,'보통'
1061,좋음
1062,매우좋음
1063,매우좋음
1064,매우좋음
1065,매우좋음
1066,매우좋음
1067,매우좋음
1068,매우좋음
1069,매우좋음
1070,좋음
1071,'좋음'
1072,매우좋음
1073,'좋음'
1074,'좋음'
1075,매우좋음
1076,매우좋음
1077,매우좋음
1078,매우좋음
1079,매우좋음
1080,매우좋음
1081,'매우좋음'
1082,매우좋음
1083,매우좋음
1084,매우좋음
1085,'매우좋음'
1086,좋음
1087,'매우좋음'
1088,매우좋음
1089,'매우좋음'
1090,'좋음'
1091,매우좋음
1092,'매우좋음'
1093,'좋음'
1094,'매우좋음'
1095,매우좋음
1096,매우좋음
1097,매우좋음
1098,'매우좋음'
1099,매우좋음
1100,좋음
1101,좋음
1102,좋음
1103,좋음
1104,좋음
1105,'매우좋음'
1106,매우좋음
1107,매우좋음
1108,매우좋음
1109,매우좋음
1110,매우좋음
1111,좋음
1112,'좋음'
1113,매우좋음
1114,좋음
1115,'매우좋음'
1116,좋음
1117,매우좋음
1118,'매우좋음'
1119,'매우좋음'
1120,'매우좋음'
1121,'매우좋음'
1122,매우좋음
1123,매우좋음
1124,매우좋음
1125,'매우좋음'
1126,매우좋음
1127,매우좋음
1128,'매우좋음'
1129,좋음
1130,'보통'
1131,좋음
1132,매우좋음
1133,'매우좋음'
1134,매우좋음
1135,매우좋음
1136,'매우좋음'
1137,'매우좋음'
1138,매우좋음
1139,'좋음'
1140,'매우좋음'
1141,좋음
1142,좋음
1143,좋음
1144,'좋음'
1145,매우좋음
1146,'보통'
1147,매우좋음
1148,매우좋음
1149,'보통'
1150,매우좋음
1151,매우좋음
1152,좋음
1153,좋음
1154,'보통'
1155,'매우좋음'
1156,매우좋음
1157,'좋음'
1158,'매우좋음'
1159,좋음
1160,'매우좋음'
1161,'좋음'
1162,'좋음'
1163,좋음
1164,'좋음'
1165,'매우좋음'
1166,좋음
1167,매우좋음
1168,매우좋음
1169,매우좋음
1170,'매우좋음'
1171,'좋음'
1172,좋음
1173,'좋음'
1174,'매우좋음'
1175,좋음
1176,'좋음'
1177,'좋음'
1178,좋음
1179,매우좋음
1180,좋음
1181,'좋음'
1182,'좋음'
1183,좋음
1184,'좋음'
1185,'좋음'
1186,좋음
1187,매우좋음
1188,매우좋음
1189,매우좋음
1190,좋음
1191,'좋음'
1192,'매우좋음'
1193,'좋음'
1194,'매우좋음'
1195,좋음
1196,'좋음'
1197,좋음
1198,좋음
1199,매우좋음
1200,좋음
1201,매우좋음
1202,매우좋음
1203,매우좋음
1204,'매우좋음'
1205,좋음
1206,매우좋음
1207,'매우좋음'
1208,좋음
1209,'매우좋음'
1210,매우좋음
1211,좋음
1212,'좋음'
1213,좋음
1214,매우좋음
1215,좋음
1216,좋음
1217,'매우좋음'
1218,좋음
1219,'매우좋음'
1220,매우좋음
1221,매우좋음
1222,'좋음'
1223,매우좋음
1224,좋음
1225,'좋음'
1226,'좋음'
1227,매우좋음
1228,'좋음'
1229,매우좋음
1230,매우좋음
1231,나쁨
1232,'좋음'
1233,보통
1234,'보통'
1235,'좋음'
1236,매우좋음
1237,좋음
1238,매우좋음
1239,'매우좋음'
1240,'매우좋음'
1241,'매우좋음'
1242,좋음
1243,매우좋음
1244,'매우좋음'
1245,'매우좋음'
1246,매우좋음
1247,좋음
1248,매우좋음
1249,매우좋음
1250,'매우좋음'
1251,'매우좋음'
1252,'매우좋음'
1253,매우좋음
1254,'매우좋음'
1255,매우좋음
1256,'매우좋음'
1257,매우좋음
1258,매우좋음
1259,'매우좋음'
1260,매우좋음
1261,'매우좋음'
1262,매우좋음
1263,좋음
1264,매우좋음
1265,매우좋음
1266,매우좋음
1267,매우좋음
1268,좋음
1269,'매우좋음'
1270,'매우좋음'
1271,매우좋음
1272,매우좋음
1273,'좋음'
1274,매우좋음
1275,매우좋음
1276,매우좋음
1277,매우좋음
1278,매우좋음
1279,매우좋음
1280,매우좋음
1281,'매우좋음'
1282,'매우좋음'
1283,좋음
1284,'좋음'
1285,'좋음'
1286,'좋음'
1287,좋음
1288,'보통'
1289,'보통'
1290,매우좋음
1291,'매우좋음'
1292,'좋음'
1293,좋음
1294,보통
1295,좋음
1296,매우좋음
1297,좋음
1298,좋음
1299,'좋음'
1300,'매우좋음'
1301,좋음
1302,좋음
1303,좋음
1304,매우좋음
1305,좋음
1306,매우좋음
1307,매우좋음
1308,좋음
1309,'좋음'
1310,'좋음'
1311,'매우좋음'
1312,좋음
1313,보통
1314,매우좋음
1315,매우좋음
1316,매우좋음
1317,매우좋음
1318,좋음
1319,매우좋음
1320,'매우좋음'
1321,매우좋음
1322,'좋음'
1323,매우좋음
1324,매우좋음
1325,좋음
1326,좋음
1327,매우좋음
1328,'매우좋음'
1329,'매우좋음'
1330,'보통'
1331,좋음
1332,'보통'
1333,'매우좋음'
1334,'좋음'
1335,'좋음'
1336,'좋음'
1337,좋음
1338,좋음
1339,좋음
1340,좋음
1341,매우좋음
1342,매우좋음
1343,매우좋음
1344,'보통'
1345,'매우좋음'
1346,좋음
1347,매우좋음
1348,'보통'
1349,좋음
1350,매우좋음
1351,매우좋음
1352,매우좋음
1353,매우좋음
1354,매우좋음
1355,좋음
1356,매우좋음
1357,매우좋음
1358,매우좋음
1359,좋음
1360,매우좋음
1361,매우좋음
1362,매우좋음
1363,매우좋음
1364,매우좋음
1365,'매우좋음'
1366,매우좋음
1367,매우좋음
1368,좋음
1369,좋음
1370,좋음
1371,매우좋음
1372,좋음
1373,매우좋음
1374,매우좋음
1375,좋음
1376,'매우좋음'
1377,'매우좋음'
1378,매우좋음
1379,매우좋음
1380,매우좋음
1381,매우좋음
1382,'매우좋음'
1383,매우좋음
1384,매우좋음
1385,'매우좋음'
1386,'좋음'
1387,'좋음'
1388,'좋음'
1389,좋음
1390,매우좋음
1391,매우좋음
1392,'좋음'
1393,매우좋음
1394,'보통'
1395,매우좋음
1396,'매우좋음'
1397,매우좋음
1398,매우좋음
1399,매우좋음
1400,매우좋음
1401,매우좋음
1402,'매우좋음'
1403,매우좋음
1404,매우좋음
1405,좋음
1406,'좋음'
1407,'좋음'
1408,'좋음'
1409,'매우좋음'
1410,매우좋음
1411,매우좋음
1412,좋음
1413,매우좋음
1414,보통
1415,매우좋음
1416,'매우좋음'
1417,매우좋음
1418,매우좋음
1419,매우좋음
1420,매우좋음
1421,좋음
1422,매우좋음
1423,좋음
1424,'좋음'
1425,'좋음'
1426,좋음
1427,매우좋음
1428,매우좋음
1429,매우좋음
1430,'매우좋음'
1431,'매우좋음'
1432,매우좋음
1433,매우좋음
1434,매우좋음
1435,매우좋음
1436,좋음
1437,좋음
1438,'매우좋음'
1439,좋음
1440,좋음
1441,'매우좋음'
1442,매우좋음
1443,'매우좋음'
1444,매우좋음
1445,좋음
1446,좋음
1447,'매우좋음'
1448,좋음
1449,매우좋음
1450,매우좋음
1451,'보통'
1452,'매우좋음'
1453,매우좋음
1454,매우좋음
1455,매우좋음
1456,매우좋음
1457,매우좋음
1458,매우좋음
1459,좋음
1460,매우좋음
1461,매우좋음
1462,매우좋음
1463,'매우좋음'
1464,'좋음'
1465,'매우좋음'
1466,매우좋음
1467,좋음
1468,'매우좋음'
1469,좋음
1470,좋음
1471,'좋음'
1472,'좋음'
1473,'좋음'
1474,매우좋음
1475,매우좋음
1476,매우좋음
1477,'좋음'
1478,좋음
1479,매우좋음
1480,매우좋음
1481,매우좋음
1482,매우좋음
1483,'매우좋음'
1484,매우좋음
1485,좋음
1486,좋음
1487,좋음
1488,'매우존함'
1489,매우좋음
1490,좋음
1491,'매우좋음'
1492,좋음
1493,'보통'
1494,매우좋음
1495,매우좋음
1496,좋음
1497,매우좋음
1498,좋음
1499,매우좋음
1500,'매우좋음'
1501,'매우좋음'
1502,'매우좋음'
1503,'매우좋음'
1504,보통
1505,'보통'
1506,매우좋음
1507,좋음
1508,매우좋음
1509,매우좋음
1510,매우좋음
1511,'매우좋음'
1512,매우좋음
1513,'매우좋음'
1514,매우좋음
1515,'보통'
1516,매우좋음
1517,매우좋음
1518,매우좋음
1519,'매우좋음'
1520,'보통'
1521,매우좋음
1522,보통
1523,매우좋음
1524,'좋음'
1525,'매우좋음'
1526,'매우좋음'
1527,좋음
1528,'매우좋음'
1529,매우좋음
1530,매우좋음
1531,'좋음'
1532,매우좋음
1533,매우좋음
1534,좋음
1535,'매우좋음'
1536,좋음
1537,매우좋음
1538,매우좋음
1539,매우좋음
1540,'보통'
1541,'매우좋음'
1542,'매우좋음'
1543,'보통'
1544,좋음
1545,좋음
1546,'매우좋음'
1547,좋음
1548,'매우좋음'
1549,매우좋음
1550,'매우좋음'
1551,'매우좋음'
1552,'보통'
1553,'보통'
1554,매우좋음
1555,좋음
1556,보통
1557,'매우좋음'
1558,'매우좋음'
1559,좋음
1560,'보통'
1561,'매우좋음'
1562,'보통'
1563,'보통'
1564,매우좋음
1565,매우좋음
1566,매우좋음
1567,'매우좋음'
1568,매우좋음
1569,'매우좋음'
1570,좋음
1571,매우좋음
1572,'좋음'
1573,'매우좋음'
1574,좋음
1575,매우좋음
1576,매우좋음
1577,매우좋음
1578,'매우좋음'
1579,매우좋음
1580,매우좋음
1581,매우좋음
1582,매우좋음
1583,'매우좋음'
1584,매우좋음
1585,매우좋음
1586,좋음
1587,좋음
1588,'좋음'
1589,'매우좋음'
1590,'매우좋음'
1591,'좋음'
1592,'매우좋음'
1593,'좋음'
1594,매우좋음
1595,매우좋음
1596,'매우좋음'
1597,매우좋음
1598,매우좋음
1599,좋음
1600,매우좋음
1601,좋음
1602,매우좋음
1603,좋음
1604,'매우좋음'
1605,'매우좋음'
1606,매우좋음
1607,매우좋음
1608,'매우좋음'
1609,매우좋음
1610,'매우좋음'
1611,매우좋음
1612,좋음
1613,매우좋음
1614,좋음
1615,'좋음'
1616,좋음
1617,'매우좋음'
1618,'매우좋음'
1619,매우좋음
1620,매우좋음
1621,좋음
1622,매우좋음
1623,좋음
1624,매우좋음
1625,'매우좋음'
1626,좋음
1627,매우좋음
1628,'매우좋음'
1629,'매우좋음'
1630,매우좋음
1631,매우좋음
1632,좋음
1633,매우좋음
1634,좋음
1635,좋음
1636,'매우좋음'
1637,좋음
1638,'좋음'
1639,좋음
1640,'매우좋음'
1641,매우좋음
1642,'매우좋음'
1643,좋음
1644,좋음
1645,매우좋음
1646,매우좋음
1647,'보통'
1648,'매우좋음'
1649,매우좋음
1650,좋음
1651,매우좋음
1652,매우좋음
1653,매우좋음
1654,매우좋음
1655,매우좋음
1656,매우좋음
1657,매우좋음
1658,매우좋음
1659,매우좋음
1660,보통
1661,'매우좋음'
1662,매우좋음
1663,'좋음'
1664,매우좋음
1665,매우좋음
1666,'매우좋음'
1667,매우좋음
1668,좋음
1669,좋음
1670,좋음
1671,매우좋음
1672,매우좋음
1673,'매우좋음'
1674,매우좋음
1675,매우좋음
